번호,업소명,도로명주소,소재지주소,지정일자,음식의유형,주된음식종류,전화번호
1,한밭식당,대전광역시 동구 태전로 3 (중동),대전광역시 동구 중동 60-1 ,19920728,한식,설렁탕, 042 2561565
2,태화장,"대전광역시 동구 중앙로203번길 78, 1,2,3층 (정동)","대전광역시 동구 정동 36-34 ,36-32, 36-30번지 1,2,3층 ",19981021,,"짜장,짬뽕",042 256 2407
3,왕관식당,대전광역시 동구 선화로196번길 6 (중동),대전광역시 동구 중동 3-30 ,20061228,,"육회,콩나물밥", 042 2211663
4,경동오징어국수식당,대전광역시 동구 계족로 369 (성남동),대전광역시 동구 성남동 200-342 ,20120319,분식,칼국수, 042626 5707
5,중국성,대전광역시 동구 대전로815번길 66 (정동),대전광역시 동구 정동 8-5 ,20050930,,탕수육, 042254 3353
6,별천지,대전광역시 동구 산서로1659번길 29 (대별동),대전광역시 동구 대별동 198 ,20061228,,한방백숙,042 271 0207
7,평양숨두부식당,대전광역시 동구 대전로 381 (대성동),대전광역시 동구 대성동 163-2 ,19940516,,숨두부, 042284 4141
8,만인산식당,대전광역시 동구 산내로 111 (하소동),대전광역시 동구 하소동 460-1 ,19981021,,"갈비탕, 불고기", 042274 0700
9,옛촌,대전광역시 동구 장수1길 2 (신흥동),대전광역시 동구 신흥동 9-1 ,20090413,,생삼겹살, 042 2741678
10,락원간제미타운식당,"대전광역시 동구 우암로171번길 19 (성남동,,8)","대전광역시 동구 성남동 42-4 ,8 ",19970804,,간재미무침, 042 6361667
11,용운산성식당,대전광역시 동구 새울로 42-21 (용운동),대전광역시 동구 용운동 316-17 ,19970804,,누룽지백숙, 042 2856692
12,착한낙지홍도점,대전광역시 동구 동서대로 1609-2 (홍도동),대전광역시 동구 홍도동 13-11 ,20060929,,낙지볶음, 042 6255100
13,박가네 등갈비,"대전광역시 동구 동대전로 287, 1,2층 (가양동)","대전광역시 동구 가양동 419-3 1,2층 ",20141215,한식,매운등갈비, 042 6216219
14,풍전삼계탕식당,대전광역시 동구 계족로 414 (용전동),대전광역시 동구 용전동 145-9 ,20080331,,삼계탕, 042 6313838
15,진성아구찜용전점,대전광역시 동구 계족로392번길 2 (성남동),대전광역시 동구 성남동 504-51 ,20110929,한식,해물찜,042 634 1044
16,장원오리,대전광역시 동구 한밭대로 1299 (용전동),대전광역시 동구 용전동 24-3 ,20050630,한식,누룽지오리백숙,
17,소나무칼국수황제보쌈,대전광역시 동구 송촌남로11번길 209 (용전동),대전광역시 동구 용전동 10-1 ,20041130,,바지락칼국수, 042 6738333
18,천안원조닭똥집식당,대전광역시 동구 동서대로1692번길 27 (가양동),대전광역시 동구 가양동 450-25 ,20080331,,닭똥집볶음, 042 6339038
19,장가네대구왕뽈떼기,대전광역시 동구 계족로 309-1 (성남동),대전광역시 동구 성남동 73-3 ,20090413,,대구뽈찜, 042 6230750
20,띠울참숯석갈비가양점,"대전광역시 동구 동대전로 316 (가양동,,13)","대전광역시 동구 가양동 422-9 ,13 ",20090106,,석갈비, 042 6394422
21,동태탕에 집중하다,"대전광역시 동구 옥천로 54, 1층 (신흥동)",대전광역시 동구 신흥동 214 ,20170628,한식,동태탕, 042 2715551
22,대박집정육식당,대전광역시 동구 계족로 426 (용전동),"대전광역시 동구 용전동 140-5 ,1 ",20090630,,고기, 042 6212133
23,외식,대전광역시 동구 대전로 435-9 (가오동),"대전광역시 동구 가오동 237-29 373-13, 407-84 ",20090413,,돼지갈비, 042 2849200
24,함초양념갈비,대전광역시 동구 계족로 508 (용전동),대전광역시 동구 용전동 43-5 ,20061228,,양념갈비, 042 6241184
25,경성한우축산식당,대전광역시 동구 계족로140번길 150 (용운동),대전광역시 동구 용운동 450-11 ,20150708,식육,등심,042 528 8949
26,일품정육식당,대전광역시 동구 대전로 296 (대성동),대전광역시 동구 대성동 210-1 ,20071023,한식,고기,042 285 8443
27,감골오리,대전광역시 동구 대전로 896 (삼성동),대전광역시 동구 삼성동 296-13 ,20071023,,오리부추구이, 042 6225295
28,어진숯불갈비식당,"대전광역시 동구 충무로 229 (인동,2층)",대전광역시 동구 인동 147-7 2층 ,20071023,,숯불갈비, 042285 0114
29,금촌한우정육식당,대전광역시 동구 계족로 324 (성남동),대전광역시 동구 성남동 47-2 ,20101008,,한우모듬구이, 042 6727159
30,불난뚱땡이,대전광역시 동구 백룡로 21 (자양동),대전광역시 동구 자양동 104-28 ,20091001,한식,돼지고기 삼겹살,042 624 0009
31,안면도회센타,대전광역시 동구 산내로 1407 (낭월동),대전광역시 동구 낭월동 302 ,20091001,일식,회, 042 4887722
32,시골막국수와 닭개장,대전광역시 동구 대학로50번길 78-28 (용운동),대전광역시 동구 용운동 663 ,20130607,분식,막국수,042 282 4883
33,명성만두샤브샤브전문점,대전광역시 동구 신기로 91 (가오동),대전광역시 동구 가오동 493 ,20090618,,만두전골,042 286 8088
34,모모갈비식당,대전광역시 동구 신기로 117 (가오동),대전광역시 동구 가오동 477 ,20130607,한식,돼지갈비,042 484 0606
35,차오차오 앤 니하오마,대전광역시 동구 한남로 13 (홍도동),대전광역시 동구 홍도동 97 ,20120319,중식,자장면,042 623 9295
36,한우농장30년,"대전광역시 동구 동부로 13 (판암동,1, 2층)","대전광역시 동구 판암동 490-10 1, 2층 ",20110331,,한우꽃등심, 042 2749393
37,솔파인 레스토랑,"대전광역시 동구 동대전로 171 (자양동, 우송정보대신관 13층)",대전광역시 동구 자양동 72-1 ,20130404,양식,스테이크,042 629 6610
38,장금이유기농우렁쌈밥,대전광역시 동구 가양로 135 (가양동),대전광역시 동구 가양동 448-17 ,20120608,한식,쌈밥,042 638 8253
39,봉추찜닭,"대전광역시 동구 동서대로1695번길 30, 동관동 CE106호 (용전동, 대전복합터미널)",대전광역시 동구 용전동 68-2 대전복합터미널 ,20131018,한식,찜닭,042 622 6981
40,장충동할머니족발보쌈(용운점),"대전광역시 동구 백룡로 75-43, 지하1층 (용운동)",대전광역시 동구 용운동 125-4 ,20140704,한식,"족발,보쌈", 042 3228881
41,유성갈비 가오점,"대전광역시 동구 대전로448번길 52-4, 1층 (가오동)",대전광역시 동구 가오동 590 1층 ,20170404,한식,돼지갈비,042 274 3579
42,진로집,대전광역시 중구 중교로 45-5 (대흥동),대전광역시 중구 대흥동 314-1 ,19950707,,두루치기,042 226 0914
43,희락반점,대전광역시 중구 중앙로129번길 21 (선화동),대전광역시 중구 선화동 36 ,20051220,,"자장면,탕수육",042 256 0273
44,금광식당,"대전광역시 중구 충무로 127 (대사동,(2,3,4,층))","대전광역시 중구 대사동 64-18 (2,3,4,층) ",19950707,,한정식,042 226 8686
45,쭈낙,대전광역시 중구 계백로1593번길 7 (유천동),대전광역시 중구 유천동 209-212 ,20160329,한식,"쭈꾸미, 낙지",042 533 5550
46,영동식당,대전광역시 중구 계룡로874번길 27-9 (오류동),대전광역시 중구 오류동 153-25 ,19980829,,토끼탕,042 531 6016
47,고려회관,"대전광역시 중구 중앙로109번길 30, 2층 (선화동)",대전광역시 중구 선화동 232-8 2층 ,20160329,한식,"소고기, 정식", 042 2548080
48,삼성식당,"대전광역시 중구 계룡로 860-13, 1층 (오류동)",대전광역시 중구 오류동 149-6 1층 ,20020413,한식,제육짜글이,042 533 8745
49,연아식당,대전광역시 중구 유천로 57-9 (유천동),대전광역시 중구 유천동 212-2 ,19981121,,황태찜,042 583 8956
50,본가아구와동태찜,대전광역시 중구 대종로549번길 34 (선화동),대전광역시 중구 선화동 141-2 ,20070629,,동태찜,042 255 0088
51,태화원,대전광역시 중구 중앙로112번길 43 (대흥동),대전광역시 중구 대흥동 463 ,20111221,중식,중화요리,042 255 1688
52,다정식당,"대전광역시 중구 보문산공원로 496, 1층 (대사동)",대전광역시 중구 대사동 198-138 1층 ,20150331,한식(향토),"보리밥, 묵무침", 042 2524322
53,자연산횟집,대전광역시 중구 유천로86번길 20 (유천동),대전광역시 중구 유천동 204-6 ,20030408,,"활어회, 매운탕",042 535 7132
54,초량식당,대전광역시 중구 중앙로121번길 58 (선화동),대전광역시 중구 선화동 18-4 ,20051220,,"등심,백반", 042255 4563
55,영광민물장어식당,"대전광역시 중구 보문로 213 (대흥동,(1층))",대전광역시 중구 대흥동 326-182 (1층) ,19991007,,장어구이,042 257 2388
56,충남장어구이,"대전광역시 중구 대흥로121번길 28 (대흥동,(1,2층))","대전광역시 중구 대흥동 410-1 (1,2층) ",19960528,,장어구이,042 255 9897
57,예지원식당,"대전광역시 중구 중앙로16번길 27-17, 1~4층 (문화동)",대전광역시 중구 문화동 1-178 1~4층 ,20110927,한식,한정식,042 222 3522
58,황토우렁이마을,대전광역시 중구 대둔산로 454 (산성동),대전광역시 중구 산성동 160-14 ,20110401,,우렁이 쌈밥, 042 5820118
59,국보산삼오리,"대전광역시 중구 대종로460번길 62 (대흥동,(2층))",대전광역시 중구 대흥동 3-1 (2층) ,20140408,한식,오리전문,042 252 5288
60,홍두깨칼국수,"대전광역시 중구 대종로 258, 1층 (석교동)",대전광역시 중구 석교동 10-17 1층 ,20140710,"칼국수,수육",, 042 2548314
61,대들보함흥면옥,"대전광역시 중구 계백로1583번길 39, 1층 (유천동)",대전광역시 중구 유천동 311-13 1층 ,20080929,,"냉면,불고기,만두",042 522 5900
62,로보쿡식당,대전광역시 중구 중앙로164번길 18 (은행동),대전광역시 중구 은행동 40-1 ,20140408,양식,"피자,스파게티",042 221 5009
63,신태평고을정육식당,"대전광역시 중구 동서대로 1190, 1층 (태평동)","대전광역시 중구 태평동 413-2 ,2(1층) ",20130327,한식,"한우, 삽겹살",042 528 5775
64,한일회관,대전광역시 중구 유등천동로582번길 30 (태평동),대전광역시 중구 태평동 365-69 ,20110401,,삼겹살, 042 5338891
65,산성골식당,"대전광역시 중구 대둔산로364번길 9 (산성동,, 273-7(1,2층))","대전광역시 중구 산성동 273-8 , 273-7(1,2층) ",20080929,,등심,042 581 2989
66,한우종가,대전광역시 중구 산성로57번길 11 (산성동),대전광역시 중구 산성동 335-2 ,20081223,,"한우,토종돼지고기",042 586 5572
67,고향콩나물밥,대전광역시 중구 보문로 305 (선화동),대전광역시 중구 선화동 354 ,20080411,,콩나물밥,042 253 0088
68,플라잉팬,"대전광역시 중구 대종로 480, 2층 (은행동)",대전광역시 중구 은행동 153 (2층) ,20021009,,스파게티,042 223 3004
69,코바그릴,"대전광역시 중구 중교로 53, 1층 (대흥동)","대전광역시 중구 대흥동 219-10 ,220(1층) ",20170630,양식,슈하스코(브라질전통요리), 042 2215399
70,향촌한우타운,"대전광역시 중구 계백로1615번길 66 (유천동,,155-5(1층))","대전광역시 중구 유천동 188-3 ,155-5(1층) ",20071227,,한우암소,042 528 0022
71,팔도막국수,"대전광역시 중구 어덕마을로 109 (중촌동,(1층))",대전광역시 중구 중촌동 9-8 (1층) ,20030408,,막국수,042 223 0651
72,왕십리곱창,"대전광역시 중구 계백로1685번길 8 (오류동,(1층))",대전광역시 중구 오류동 165-9 (1층) ,20060928,,곱창구이,042 531 1154
73,밀밭칼국수,"대전광역시 중구 보문산로 147-18 (문화동,(2층))",대전광역시 중구 문화동 559-1 (2층) ,20151218,한식,칼국수,042 586 9654
74,장수두부촌,"대전광역시 중구 뿌리공원로23번길 54 (안영동,(1층))",대전광역시 중구 안영동 696-6 (1층) ,20030408,,두부버섯전골,042 586 5988
75,우돈마루,"대전광역시 중구 목중로 50 (중촌동,제일프라자(지하))",대전광역시 중구 중촌동 16-10 제일프라자(지하) ,20071227,,한우,042 222 1262
76,화평본가,"대전광역시 중구 계룡로 856, 삼학빌딩 1층 (오류동)",대전광역시 중구 오류동 175-5 삼학빌딩 1층 ,20070629,,냉면,042 526 9256
77,두손개성만두,"대전광역시 중구 보문산로365번길 2 (문화동,(1층))",대전광역시 중구 문화동 11-15 (1층) ,20120328,한식,만두전골,042 582 5262
78,바다황제,"대전광역시 중구 대흥로121번길 43, 1~2층 (대흥동)","대전광역시 중구 대흥동 458-1 (1,2층) ",20090413,,활어회,042 256 5665
79,토담식당,"대전광역시 중구 계룡로 922, 205,206,207호 (문화동, 하우스토리)","대전광역시 중구 문화동 1-31 하우스토리 205,206,207호 ",20090703,,쌈밥정식,042 257 2355
80,최가네식당,"대전광역시 중구 대둔산로159번안길 2 (안영동,(1,2층))","대전광역시 중구 안영동 416-6 (1,2층) ",20111221,한식,돼지석갈비,042 583 6997
81,시루향기산성점,"대전광역시 중구 대둔산로 364 (산성동,(1층))",대전광역시 중구 산성동 273-10 (1층) ,20110706,한식,콩나물국밥,042 587 0592
82,손이가어죽칼국수,"대전광역시 중구 중앙로121번길 44, 1~2층 (선화동)",대전광역시 중구 선화동 20 1~2층 ,20071016,한식,"칼국수, 족발",042 489 5003
83,유가옥,"대전광역시 중구 대종로 323 (부사동,(1층))",대전광역시 중구 부사동 128-1 (1층) ,20160704,한식,"설렁탕, 수육",042 256 3455
84,풍년산채골,"대전광역시 중구 보문산로 147-18 (문화동,(1층))",대전광역시 중구 문화동 559-1 (1층) ,20080411,,"한우암소, 냉면",042 584 6094
85,내담,"대전광역시 중구 보문산로171번안길 24 (문화동,(1층))",대전광역시 중구 문화동 559-12 (1층) ,20140929,,칼국수,042 582 8777
86,선속초코다리냉면,"대전광역시 중구 대흥로 22, 1층 (대사동)",대전광역시 중구 대사동 248-264 (1층) ,20120919,한식,냉면,042 224 6699
87,맛나감자탕,"대전광역시 중구 동서대로 1228-8 (태평동,,2,3,26(1층))","대전광역시 중구 태평동 381-1 ,2,3,26(1층) ",20120627,한식,감자탕,042 534 0602
88,논두렁추어칼국수,"대전광역시 중구 보문로20번길 41, 1층 (문창동)",대전광역시 중구 문창동 118-3 (1층) ,20110706,한식,"추어칼국수,추어탕",042 272 7589
89,니하오유천점,"대전광역시 중구 평촌로 84 (유천동,,197-2)","대전광역시 중구 유천동 196 ,197-2 ",20120919,중식,자장면,042 535 8070
90,큰집숯불갈비,"대전광역시 중구 계룡로881번길 9-7 (용두동,(1층))",대전광역시 중구 용두동 19-4 (1층) ,20070330,,돼지갈비,042 253 4848
91,인정원,"대전광역시 중구 계룡로 755 (용두동,(3층))",대전광역시 중구 용두동 138-9 (3층) ,20110401,한식,한정식,042 254 4999
92,맛소야,"대전광역시 중구 계백로1565번길 10 (유천동,,42(1.2층))","대전광역시 중구 유천동 308-37 ,42(1.2층) ",20080929,,"소고기구이,등심",042 524 9923
93,크래버대게나라대전점,"대전광역시 중구 계룡로 875 (용두동,1층)",대전광역시 중구 용두동 19-8 1층 ,20091001,,대게,042 253 5295
94,무지개한정식,"대전광역시 중구 보문로 264 (대흥동,지상2층)",대전광역시 중구 대흥동 498-2 지상2층 ,20091001,,한정식,042 256 8881
95,이삭,"대전광역시 중구 중앙로170번길 24 (은행동,,53-19,53-22(1층))","대전광역시 중구 은행동 53-1 ,53-19,53-22(1층) ",20090413,,생선초밥,042 253 1002
96,김판순김치찌개,"대전광역시 중구 안영로 45 (안영동,(지상1층))",대전광역시 중구 안영동 642-3 (지상1층) ,20110509,,"김치찌개, 삼겹살",042 586 5252
97,원조태평소국밥유천점,"대전광역시 중구 유천로 17-1 (유천동,(1층))",대전광역시 중구 유천동 268-15 (1층) ,20100330,,국밥,042 528 2222
98,괴산올갱이,대전광역시 중구 보문로 253-27 (대흥동),대전광역시 중구 대흥동 503-2 (지상2층) ,20140929,,올갱이해장국,042 253 3501
99,박가부대찌개(은행점),"대전광역시 중구 중앙로164번길 22-9 (은행동,(1층))",대전광역시 중구 은행동 33-4 (1층) ,20111221,한식,부대찌개,042 221 8277
100,하나참치,"대전광역시 중구 계백로1685번길 18 (오류동,(1층))",대전광역시 중구 오류동 166-10 (1층) ,20161227,일식,참치회,042 521 0033
101,남다른감자탕대전유천점,"대전광역시 중구 계백로 1601 (유천동,(1층))",대전광역시 중구 유천동 207-6 (1층) ,20160329,한식,"감자탕, 해장국",042 534 2110
102,해뜨는집,"대전광역시 중구 대종로296번길 17 (문창동,(1층))",대전광역시 중구 문창동 373-3 (1층) ,20100930,,오리백숙,042 274 8720
103,대림한정식,"대전광역시 중구 대종로505번길 50, 2층 (선화동)","대전광역시 중구 선화동 229-6 ,229-1,229-7,229-8,230-2,230-6 대림관광호텔(2층) ",20151218,한식,한정식,042 221 6969
104,풍천민물장어,"대전광역시 중구 계백로 1601 (유천동,(2층))",대전광역시 중구 유천동 207-6 (2층) ,20150331,한식,장어구이,042 522 9252
105,문성회관,"대전광역시 중구 계백로1603번길 30 (유천동,(1층))",대전광역시 중구 유천동 204-9 (1층) ,20120328,한식,굴국밥,042 226 5292
106,당디숯불갈비,"대전광역시 중구 대둔산로 460 (산성동,, 144-10 (1층))","대전광역시 중구 산성동 144-9 , 144-10 (1층) ",20130626,한식,소고기,042 587 6769
107,삼일소고기국밥,"대전광역시 중구 계룡로 806 (오류동,,187-9,187-24(1층))","대전광역시 중구 오류동 187-8 ,187-9,187-24(1층) ",20140710,한식,소고기국밥,042 533 3198
108,복코찜이,"대전광역시 중구 대둔산로 247, 1층 (안영동)",대전광역시 중구 안영동 644-4 1층 ,20140408,분식,코다리찜,070 74504000
109,대관령축산정육식당,"대전광역시 중구 서문로 128, B동 2층 (문화동)","대전광역시 중구 문화동 311-12 ,311-58 B동(2층) ",20130327,한식,쇠고기,042 582 9992
110,대원칼국수,"대전광역시 중구 대종로 460, 1층 (대흥동)",대전광역시 중구 대흥동 158-2 (1층) ,20170405,분식,"칼국수, 수육",042  2220316
111,샤브향목동점,대전광역시 중구 동서대로 1397 (목동),대전광역시 중구 목동 4-11 (2층) ,20140408,한식,샤브샤브,042 222 1900
112,청와삼대,"대전광역시 중구 계룡로904번안길 6, 1층 (문화동)",대전광역시 중구 문화동 1-97 (1층) ,20170630,한식,"족발,보쌈",042 222 1440
113,다교네쭈꾸미세상,"대전광역시 중구 대종로505번길 33, 1층 (선화동)","대전광역시 중구 선화동 47-1 ,48-1(1층) ",20150630,한식,쭈꾸미볶음,042 221 0276
114,계룡산가마솥콩두부,"대전광역시 중구 용두로 17-1, 1층 (용두동)",대전광역시 중구 용두동 31-14 1층 ,20170927,한식,청국장,042 538 3131
115,쿠우쿠우대전점,"대전광역시 중구 중앙로156번길 16, 6층 (은행동, 앤비)",대전광역시 중구 은행동 143-1 앤비 ,20161227,일식,"초밥, 스시",042 253 5500
116,두꺼비만두전골칼국수,"대전광역시 중구 대흥로 139, 1층 (대흥동)",대전광역시 중구 대흥동 175 1층 ,20161006,분식,만두전골, 042 2852222
117,밀당가야밀면짬뽕,"대전광역시 중구 유천로 59-1, 1층 (유천동)",대전광역시 중구 유천동 210-10 1층 ,20171220,분식,"밀면,짬뽕", 042 5319279
118,24시생고기김치찌개전문점,"대전광역시 중구 태평로 80, 1층 (태평동)",대전광역시 중구 태평동 383-1 1층 ,20171220,한식,김치찌개, 042535 8882
119,오가네대구왕뽈떼기,"대전광역시 중구 유천로102번길 18, 2층 (유천동)",대전광역시 중구 유천동 200-12 2층 ,20171220,한식,"뽈떼기찜,탕",042 347 5959
120,충무할매낙지볶음,"대전광역시 서구 도산로 340, 1층 (용문동)",대전광역시 서구 용문동 277-4 1층 ,20121221,한식,낙지볶음, 042 5319348
121,정림가든,대전광역시 서구 혜천로 20 (정림동),대전광역시 서구 정림동 8-4 ,20130722,한식,"오리전골, 장어", 042 5838600
122,대성콩국수,"대전광역시 서구 도산로 141, 1,2층 (도마동)",대전광역시 서구 도마동 67-36 ,20161014,한식,콩국수,042 533 4586
123,돈수원갈비,대전광역시 서구 도산로 103 (도마동),대전광역시 서구 도마동 100-15 ,20051007,한식,돼지갈비,042 525 9209
124,한마음면옥식당,대전광역시 서구 사마1길 22 (도마동),대전광역시 서구 도마동 101-6 ,20021004,분식,냉면, 042 5360408
125,이모네감자탕,대전광역시 서구 도솔로 135 (도마동),대전광역시 서구 도마동 34-44 ,20150327,한식,감자탕, 042 5229781
